#"Nota Final Física 1"  "Nota Final Física 2"  "Nota Final Algebra Lineal"  "Nota Final Cálculo Diferencial"  "Promedio Final PGA"
4.6  4.8  3.8  4.2  4.23
3  3.7  4.4  4  3.7
4.05  3.98  4  4  4.04
5  5  4.42  5  4.69
3.60  4  3.64  3.30  4.3
4  4  3.5  3.5  4.24
3  4.5  3.4  3  3.5
3.5  3.5  3.0  3.5  3.70
4.2  3.9  4.3  3.6  3.7
3.5  3.5  3.5  3  3.79
3.28  3.15  3.82  3.25  3.78
3  3.5  3  3.5  3.3
4.20  3.40  3.10  3.87  3.99
4.0  4.5  4.5  3.0  3.78
4.0  3.0  3.5  4.0  3.52
3.7  3.7  3.2  4  4
3.5  3.3  3.8  3.8  3.56
4.5  3.5  4.5  3.5  4.01
4  4  4  4  4
3  3  4.5  3  3.46
3.5  3.5  3  4.3  3.71
3.00  3.00  3.00  3.7  3.72
3.7  3.5  4.5  4.4  4.25
3.2  3.1  3.5  3.9  4.05
3.9  3.8  4  4.3  4.1
3.5  4  5  4  4.26
4.23  4.1  5  4.5  4.23
4.9  4.93  5  5  4.81
3.2  3.5  4  4  3.95
4.1  4.1  4  4.4  4.3
4.3  3.6  3.53  4.3  3.83
3.5  3.5  4  3  3.99
3.5  4  4  4.5  4.3
3.5  4  4  4.4  4.28
4.5  4  4  4  4.16
4.2  3.2  4.4  4.6  4.37
4.5  4.5  5  5  4.71
4.72  4.50  5  4.24  4.41
3.94  4.03  3.80  4.50  4.26
3.5  3.5  4.0  3.5  3.9
3.5  4  4  4.5  3.8
3  3.2  4.7  4.2  3.66
3.5  3.7  3.2  4.5  3.73
4.3  4.7  4.0  4.2  4.1
3.3  3.0  3.2  3.5  3.57
3.8  3.7  3.7  3.7  4.0
4.1  3.6  3.5  4.2  3.68
3.5  3.7  3.5  4.2  3.89
4  3.5  3  4.0  3.85
3.9  4.2  3.0  3.6  3.91
3.4  3  4.72  3.4  3.65
3.2  3.2  3  5  4.31
3.4  3.2  4.3  4.1  4.24
3.8  4  4.1  3.55  4.09
3.4  3  3  3.2  3.86
3.5  4.0  4.5  3.5  3.86
4.4  4.3  4  4.44  4.08
4.5  4  4.5  5  4.4
4  3.5  4.5  4  4
3.2  3.5  3.8  3.5  3.25
3.3  3.5  3.5  4.1  4.02
4.2  4.8  4  4.6  4.3
3.1  4.0  3.1  3.47  3.82
3.6  3.1  3.7  3.8  4.08
4.5  4.1  3.5  4.5  4.15
3.0  3.8  4.2  3.0  4.18
4.00  3.5  3.96  4.50  3.96
3.7  3.7  3.5  4.6  3.82
4  3.9  3.3  3.5  3.5
